Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Mozambique,2020,-19,36,0,0,0,0,31,10,1,21,21,0.5,0.5,24,1,0.5,0,0,0,0,44,25,3
Myanmar,2020,22,96,61,60,0.5,0.5,62,22,0.5,64,64,0.5,0.5,68,13,0.5,53,52,0.5,0.5,49,42,2
Namibia,2020,-23,19,0,0,0,0,11,2,35,0,0,0,0,15,3,6,0,0,0,0,7,2,62
Nepal,2020,28,84,49,47,0.5,2,29,54,5,50,49,0.5,0.5,31,53,2,42,35,0.5,7,20,58,17
Netherlands,2020,52,5,97,0.5,0.5,97,0.5,0.5,100,97,1,1,95,0.5,5,95,97,0.5,0.5,97,0.5,0.5,100
New Caledonia,2020,-21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,2020,-41,17,82,0.5,0.5,82,0.5,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,2020,13,-85,0,0,0,19,45,10,25,0,0,0,0.5,62,4,0.5,0,0,0,33,33,15,41
Niger,2020,18,8,16,16,0.5,0.5,19,5,0.5,11,11,0.5,0.5,12,1,0.5,43,42,0.5,0.5,55,24,3
Nigeria,2020,9,9,31,28,0.5,3,32,21,9,26,24,0.5,2,30,7,4,35,31,0.5,4,34,35,13
Niue,2020,-19,-17,0,0,0,0,0.5,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,2020,42,22,12,5,0.5,7,7,11,81,18,12,1,4,17,27,54,8,0.5,0.5,8,0.5,0.5,100
Northern Mariana Islands,2020,17,14,0,0,0,0,0.5,44,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2020,61,9,65,0.5,0.5,63,2,13,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,2020,22,56,0,0,0,21,2,76,21,0,0,0,2,6,92,2,0,0,0,24,2,74,24
Pakistan,2020,30,69,0,0,0,0,21,30,27,0,0,0,0,29,38,7,0,0,0,0,9,18,62
Palau,2020,8,13,0,0,0,0,0.5,29,71,0,0,0,0,0.5,56,43,0,0,0,0,0.5,22,78
Panama,2020,9,-81,0,0,0,0,10,43,34,0,0,0,0,23,42,4,0,0,0,0,5,43,48
Papua New Guinea,2020,-6,14,0,0,0,3,12,5,7,0,0,0,1,11,4,3,28,7,4,17,13,10,35
Paraguay,2020,-23,-58,60,56,0.5,4,43,45,8,71,71,0.5,0.5,62,28,0.5,54,47,0.5,6,31,55,14
Peru,2020,-9,-75,53,5,4,50,9,5,74,0,0,0,14,23,22,20,64,2,2,60,5,0.5,88
Philippines,2020,13,12,61,58,0.5,3,16,70,7,66,64,0.5,2,22,64,4,55,51,0.5,4,10,76,10
Poland,2020,52,19,91,9,18,64,0.5,36,64,0,0,0,28,0.5,72,28,94,3,3,88,0.5,11,88
Portugal,2020,39,-8,85,10,10,65,6,29,65,0,0,0,31,9,59,31,93,5,5,82,4,14,82
Puerto Rico,2020,18,-67,33,0.5,0.5,33,0.5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,2020,25,51,97,0.5,0.5,97,0.5,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Korea,2020,36,12,100,0.5,0.5,100,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Moldova,2020,47,28,0,0,0,28,47,9,34,0,0,0,3,69,10,4,79,9,9,61,17,8,75
Réunion,2020,-21,56,0,0,0,0,3,45,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,2020,46,25,83,15,15,53,31,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,2020,62,105,61,6,4,51,10,3,77,52,16,11,25,30,5,37,64,2,1,60,3,2,90
Rwanda,2020,-2,30,0,0,0,0,83,0.5,1,54,54,0.5,0.5,83,0.5,0.5,0,0,0,0,82,1,6
Saint Helena,2020,-24,-10,0,0,0,0,0.5,48,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,2020,14,-61,0,0,0,0,7,82,5,0,0,0,0,8,82,4,0,0,0,0,5,82,11
Saint Pierre and Miquelon,2020,47,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,2020,-14,-17,48,48,0.5,0.5,10,89,0.5,50,50,0.5,0.5,11,88,0.5,37,36,0.5,0.5,3,96,0.5
San Marino,2020,44,13,70,0.5,0.5,70,0.5,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,2020,0,7,35,27,0.5,8,29,7,17,30,25,0.5,6,26,4,13,36,28,0.5,8,30,8,19
Saudi Arabia,2020,24,45,59,0.5,0.5,59,0.5,41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,2020,15,-15,24,22,0.5,2,29,37,8,24,24,0.5,0.5,30,25,0.5,24,20,0.5,4,28,49,17
Serbia,2020,44,21,18,10,0.5,8,1,39,57,20,17,0.5,3,0.5,76,19,17,4,0.5,13,2,11,86
Seychelles,2020,-5,56,0,0,0,0,0.5,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,2020,9,-12,14,14,0.5,0.5,48,6,0.5,10,10,0.5,0.5,35,0.5,0.5,20,20,0.5,0.5,66,13,1
Singapore,2020,1,10,100,0.5,0.5,100,0.5,0,100,0,0,0,0,0,0,0,100,0.5,0.5,100,0.5,0,100
Slovakia,2020,49,20,82,8,8,65,4,27,69,75,12,12,51,6,39,55,88,5,5,78,3,16,82
Slovenia,2020,46,15,72,0.5,0.5,72,0.5,27,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,2020,-10,16,0,0,0,0,20,13,7,0,0,0,0,16,4,2,0,0,0,0,33,40,23
Somalia,2020,5,46,32,29,0.5,2,46,4,6,21,20,0.5,1,29,2,3,44,41,0.5,3,66,7,10
South Africa,2020,-31,23,0,0,0,0,30,3,61,0,0,0,0,77,6,4,0,0,0,0,7,1,88
South Sudan,2020,13,30,0,0,0,0,23,0.5,0.5,0,0,0,0,15,0.5,0.5,0,0,0,0,57,2,2
Spain,2020,41,-4,96,2,2,92,4,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,2020,8,81,0,0,0,0,94,2,2,0,0,0,0,97,1,0.5,0,0,0,0,84,4,9
Sudan,2020,13,30,0,0,0,0,38,6,1,0,0,0,0,30,0.5,0.5,0,0,0,0,53,16,3
Suriname,2020,4,-56,25,24,0.5,1,3,91,2,34,33,0.5,0.5,8,81,2,21,19,0.5,1,0.5,96,3
Sweden,2020,60,19,95,4,4,87,0.5,11,88,91,8,8,74,0.5,25,75,96,3,3,89,0.5,10,90
Switzerland,2020,47,8,100,0.5,0.5,100,0.5,0,100,99,0.5,0.5,98,0.5,2,98,100,0.5,0.5,100,0.5,0,100
Syrian Arab Republic,2020,35,39,0,0,0,0,17,7,76,0,0,0,0,33,14,52,0,0,0,0,4,1,95
Tajikistan,2020,39,71,0,0,0,0,80,3,16,59,59,0.5,0.5,95,4,0.5,0,0,0,0,40,0.5,58
Thailand,2020,16,10,26,19,0.5,7,3,83,14,22,18,0.5,4,5,87,8,30,20,0.5,9,2,79,19
Timor-Leste,2020,-9,12,0,0,0,0,38,17,11,0,0,0,0,38,10,8,0,0,0,0,38,33,18
Togo,2020,9,1,9,9,0.5,0.5,23,22,0.5,7,7,0.5,0.5,15,4,0.5,12,12,0.5,0.5,34,47,0.5
Tokelau,2020,-9,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,2020,-21,-17,34,32,0.5,1,9,87,3,37,36,0.5,1,11,85,3,23,22,0.5,1,2,95,2
Trinidad and Tobago,2020,11,-61,0,0,0,0,6,73,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,2020,34,10,81,21,0.5,59,22,17,60,63,53,0.5,10,51,38,10,89,8,1,80,9,8,82
Turkey,2020,39,35,78,5,4,69,11,0,89,80,19,15,46,38,0,61,78,1,0.5,76,2,0,98
Turkmenistan,2020,39,60,0,0,0,0,69,2,29,0,0,0,0,98,1,0.5,0,0,0,0,43,3,54
Uganda,2020,1,32,0,0,0,0.5,35,2,0.5,16,16,0.5,0.5,27,0.5,0.5,0,0,0,0.5,58,7,2
Ukraine,2020,48,31,72,24,15,33,48,0.5,51,0,0,0,2,95,3,3,69,13,9,47,27,0.5,73
United Arab Emirates,2020,23,54,100,1,1,96,3,0.5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,2020,55,-3,98,0.5,0.5,97,0.5,2,98,94,3,3,88,0.5,12,88,99,0.5,0.5,99,0.5,0.5,100
United Republic of Tanzania,2020,-6,35,26,26,0.5,0.5,40,10,0.5,22,22,0.5,0.5,26,3,0.5,35,34,0.5,0.5,67,21,1
United States Virgin Islands,2020,18,-65,0,0,0,0,0.5,57,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,2020,37,-96,98,7,7,82,0.5,15,85,0,0,0,35,0.5,63,36,97,3,2,92,0.5,5,95
Uruguay,2020,-33,-56,0,0,0,0,4,33,61,0,0,0,0,12,85,2,0,0,0,0,4,31,64
Uzbekistan,2020,41,65,0,0,0,0,73,0.5,27,0,0,0,0,100,0.5,0.5,0,0,0,0,47,0.5,52
Vanuatu,2020,-15,167,0,0,0,0,44,21,3,0,0,0,0,55,3,2,0,0,0,0,13,70,8
Venezuela (Bolivarian Republic of),2020,6,-67,23,0.5,0.5,23,0.5,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,2020,14,10,0,0,0,0,21,71,1,0,0,0,0,32,57,0.5,0,0,0,0,1,95,2
Wallis and Futuna Islands,2020,-14,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bank and Gaza Strip,2020,24,-13,67,23,5,39,30,17,53,48,43,0.5,5,56,33,10,72,17,7,49,22,12,66
Yemen,2020,16,49,19,8,2,21,4,24,30,0,0,0,0.5,7,30,7,61,3,3,54,0.5,14,69
Zambia,2020,-13,28,0,0,0,0,36,8,8,24,24,0.5,0.5,30,1,0.5,0,0,0,0,43,15,18
Zimbabwe,2020,-19,29,26,22,0.5,4,33,6,26,30,30,0.5,0.5,46,3,1,16,5,0.5,11,7,12,78
