Negara,Tahun,latitude,longitude,Safely managed-National,Disposed in situ-National,Emptied and treated-National,Wastewater treated-National,Latrines and other-National,Septic tanks-National,Sewer connections-National,Safely managed-Rural,Disposed in situ-Rural,Emptied and treated-Rural,Wastewater treated-Rural,Latrines and other-Rural,Septic tanks-Rural,Sewer connections-Rural,Safely managed-Urban,Disposed in situ-Urban,Emptied and treated-Urban,Wastewater treated-Urban,Latrines and other-Urban,Septic tanks-Urban,Sewer connections-Urban
Greenland,2020      ,71.706936,-42.604303,92,0.5,0.5,92,0.5,8,92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guadeloupe,2020      ,16.995971,-62.067641,0,0,0,0,11,49,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guatemala,2020      ,15.783471,-90.230759,0,0,0,0,25,10,44,0.00,0.00,0.00,0.00,39.00,12.00,16.00,0.00,0.00,0.00,0.00,13.00,7.00,70.00
Guinea,2020      ,9.945587,-9.696645,0,0,0,0,44,12,2,0.00,0.00,0.00,0.00,35.00,3.00,0.50,0.00,0.00,0.00,0.00,58.00,28.00,5.00
Guinea-Bissau,2020      ,11.803749,-15.180413,12,12,0.5,0.5,14,16,1,4.00,4.00,0.50,0.50,5.00,3.00,0.50,22.00,22.00,0.50,0.50,26.00,34.00,2.00
Guyana,2020      ,4.860416,-58.93018,0,0,0,0,27,66,2,0.00,0.00,0.00,0.00,34.00,61.00,0.50,0.00,0.00,0.00,0.00,9.00,81.00,8.00
Haiti,2020      ,18.971187,-72.285215,0,0,0,0,48,17,0.5,0.00,0.00,0.00,0.00,40.00,3.00,0.50,0.00,0.00,0.00,0.00,55.00,27.00,0.50
Honduras,2020      ,15.199999,-86.241905,50,34,2,14,25,27,41,71.00,69.00,0.50,2.00,48.00,34.00,6.00,35.00,9.00,3.00,23.00,9.00,21.00,67.00
Hungary,2020      ,47.162494,19.503304,88,4,4,80,0.5,16,84,81.00,9.00,9.00,63.00,0.50,36.00,64.00,91.00,2.00,2.00,86.00,0.50,8.00,92.00
Iceland,2020      ,64.963051,-19.020835,84,0.5,0.5,84,0.5,6,94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
India,2020      ,20.593684,78.96288,46,42,0.5,4,35,36,13,51.00,50.00,0.50,0.50,46.00,28.00,1.00,37.00,27.00,0.50,11.00,13.00,51.00,34.00
Indonesia,2020      ,-0.789275,113.921327,0,0,0,0,5,76,11,0.00,0.00,0.00,0.00,6.00,67.00,14.00,0.00,0.00,0.00,0.00,5.00,83.00,10.00
Iran (Islamic Republic of),2020      ,32.427908,53.688046,0,0,0,30,63,1,36,0.00,0.00,0.00,0.50,99.00,1.00,0.50,0.00,0.00,0.00,40.00,51.00,1.00,47.00
Iraq,2020      ,33.223191,43.679291,43,25,0.5,18,8,62,30,44.00,39.00,0.50,5.00,10.00,82.00,8.00,42.00,19.00,0.50,24.00,7.00,54.00,39.00
Ireland,2020      ,53.41291,-8.24389,83,20,1,61,7,25,67,73.00,52.00,0.50,21.00,12.00,65.00,22.00,89.00,2.00,2.00,84.00,4.00,2.00,92.00
Israel,2020      ,31.046051,34.851612,95,0.5,0.5,95,0.5,0.5,100,93.00,1.00,1.00,91.00,0.50,4.00,95.00,95.00,0.50,0.50,95.00,0.50,0.50,100.00
Italy,2020      ,41.87194,12.56738,96,0.5,0.5,94,0.5,3,97,94.00,2.00,2.00,91.00,0.50,6.00,94.00,96.00,0.50,0.50,95.00,0.50,2.00,98.00
Jamaica,2020      ,18.109581,-77.297508,0,0,0,8,51,25,23,0.00,0.00,0.00,2.00,74.00,19.00,6.00,0.00,0.00,0.00,12.00,34.00,29.00,36.00
Japan,2020      ,36.204824,138.252924,81,0.5,2,79,2,18,79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordan,2020      ,30.585164,36.238414,82,8,8,66,2,30,67,0.00,0.00,0.00,20.00,3.00,74.00,21.00,84.00,7.00,7.00,70.00,2.00,26.00,71.00
Kazakhstan,2020      ,48.019573,66.923684,0,0,0,36,54,9,37,0.00,0.00,0.00,2.00,90.00,7.00,2.00,91.00,15.00,15.00,60.00,27.00,10.00,63.00
Kenya,2020      ,-0.023559,37.906193,0,0,0,0,47,5,6,29.00,29.00,0.50,0.50,47.00,1.00,0.50,0.00,0.00,0.00,0.00,48.00,16.00,20.00
Kiribati,2020      ,-3.370417,-168.734039,27,23,0.5,4,18,33,11,27.00,27.00,0.50,0.50,24.00,21.00,0.50,26.00,19.00,0.50,7.00,13.00,43.00,20.00
Kuwait,2020      ,29.31166,47.481766,100,0.5,0.5,100,0.5,0,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyrgyzstan,2020      ,41.20438,74.766098,92,78,0.5,15,84,0.5,16,96.00,96.00,0.50,0.50,100.00,0.50,0.50,86.00,46.00,0.50,39.00,57.00,1.00,42.00
Lao People's Democratic Republic,2020      ,-,-,61,61,0.5,0.5,60,21,1,60.00,60.00,0.50,0.50,60.00,11.00,0.50,63.00,62.00,0.50,0.50,60.00,38.00,2.00
Latvia,2020      ,56.879635,24.603189,83,0.5,0.5,83,0.5,9,85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lebanon,2020      ,33.854721,35.862285,16,4,0.5,11,9,13,78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lesotho,2020      ,-29.609988,28.233608,48,47,0.5,0.5,69,1,1,51.00,51.00,0.50,0.50,62.00,0.50,0.50,39.00,39.00,0.50,0.50,87.00,3.00,4.00
Liberia,2020      ,6.428055,-9.429499,0,0,0,0,23,24,0.5,0.00,0.00,0.00,0.00,22.00,3.00,0.50,0.00,0.00,0.00,0.00,24.00,43.00,0.50
Libya,2020      ,26.3351,17.228331,22,10,2,10,22,8,69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liechtenstein,2020      ,47.166,9.555373,99,0.5,0.5,99,0.5,1,99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,2020      ,55.169438,23.881275,94,1,1,91,3,0,93,86.00,4.00,4.00,78.00,8.00,0.00,81.00,98.00,0.50,0.50,98.00,0.50,0.00,100.00
